iter	Passed	Remaining
412	2305	3277
413	2308	3267
414	2310	3257
415	2312	3246
416	2313	3235
417	2320	3230
418	2322	3220
419	2324	3210
420	2328	3201
421	2335	3199
422	2340	3193
423	2343	3183
424	2350	3180
425	2353	3170
426	2357	3163
427	2359	3153
428	2364	3147
429	2366	3137
430	2369	3127
431	2371	3117
432	2373	3108
433	2375	3098
434	2382	3093
435	2384	3084
436	2386	3075
437	2388	3064
438	2390	3054
439	2395	3049
440	2400	3042
441	2403	3034
442	2411	3032
443	2414	3023
444	2417	3014
445	2419	3005
446	2421	2995
447	2425	2988
448	2429	2981
449	2434	2975
450	2442	2972
451	2445	2964
452	2448	2956
453	2452	2949
454	2462	2949
455	2465	2941
456	2468	2932
457	2475	2929
458	2477	2920
459	2479	2910
460	2481	2901
461	2487	2896
462	2489	2887
463	2491	2878
464	2493	2868
465	2494	2859
466	2496	2849
467	2498	2839
468	2499	2830
469	2506	2826
470	2508	2817
471	2510	2807
472	2512	2799
473	2514	2790
474	2520	2785
475	2522	2776
476	2528	2772
477	2535	2768
478	2538	2760
479	2540	2752
480	2542	2743
481	2544	2734
482	2545	2724
483	2551	2720
484	2556	2715
485	2560	2707
486	2569	2706
487	2572	2698
488	2574	2690
489	2582	2688
490	2585	2680
491	2589	2673
492	2591	2664
493	2593	2656
494	2600	2653
495	2603	2645
496	2607	2638
497	2610	2631
498	2614	2624
499	2616	2616
500	2618	2608
501	2621	2600
502	2627	2596
503	2630	2589
504	2632	2580
505	2634	2572
506	2636	2564
507	2639	2555
508	2641	2548
509	2643	2540
510	2645	2531
511	2647	2523
512	2649	2515
513	2651	2506
514	2653	2499
515	2658	2493
516	2661	2486
517	2663	2478
518	2665	2470
519	2667	2462
520	2670	2454
521	2674	2449
522	2676	2441
523	2678	2433
524	2680	2425
525	2682	2417
526	2684	2409
527	2690	2404
528	2692	2397
529	2694	2389
530	2697	2382
531	2704	2378
532	2706	2371
533	2711	2366
534	2719	2363
535	2721	2356
536	2723	2348
537	2725	2340
538	2726	2332
539	2729	2325
540	2731	2317
541	2735	2311
542	2739	2305
543	2742	2298
544	2744	2291
545	2749	2286
546	2753	2280
547	2755	2273
548	2758	2265
549	2760	2258
550	2767	2255
551	2770	2248
552	2773	2241
553	2775	2234
554	2777	2226
555	2780	2220
556	2782	2212
557	2784	2205
558	2786	2198
559	2788	2190
560	2793	2185
561	2795	2178
562	2797	2171
563	2799	2163
564	2801	2156
565	2805	2151
566	2809	2145
567	2811	2138
568	2816	2133
569	2818	2126
570	2821	2119
571	2823	2112
572	2825	2105
573	2827	2098
574	2829	2091
575	2831	2084
576	2833	2076
577	2834	2069
578	2842	2066
579	2844	2059
580	2846	2052
581	2848	2045
582	2854	2041
583	2856	2034
584	2858	2028
585	2861	2021
586	2863	2014
587	2868	2010
588	2871	2003
589	2874	1997
590	2877	1991
591	2879	1984
592	2885	1980
593	2887	1973
594	2889	1966
595	2891	1959
596	2892	1952
597	2894	1946
598	2900	1941
599	2902	1935
600	2904	1928
601	2908	1922
602	2910	1916
603	2914	1910
604	2919	1906
605	2922	1900
606	2924	1893
607	2926	1886
608	2933	1883
609	2935	1876
610	2937	1870
611	2939	1863
612	2942	1857
613	2947	1852
614	2948	1846
615	2950	1839
616	2952	1832
617	2954	1826
618	2956	1819
619	2962	1815
620	2965	1809
621	2966	1803
622	2968	1796
623	2970	1789
624	2972	1783
625	2978	1779
626	2981	1773
627	2983	1767
628	2986	1761
629	2990	1756
630	2992	1750
631	2994	1743
632	2996	1737
633	2999	1731
634	3001	1725
635	3004	1719
636	3007	1713
637	3009	1707
638	3011	1701
639	3014	1695
640	3015	1689
641	3017	1682
642	3024	1679
643	3027	1673
644	3029	1667
645	3031	1661
646	3035	1655
647	3039	1651
648	3041	1645
649	3043	1638
650	3045	1632
651	3047	1626
652	3053	1622
653	3056	1616
654	3058	1610
655	3060	1604
656	3062	1598
657	3064	1592
658	3068	1587
659	3070	1581
660	3072	1575
661	3074	1569
662	3076	1564
663	3078	1557
664	3085	1554
665	3087	1548
666	3089	1542
667	3091	1536
668	3093	1530
669	3095	1524
670	3099	1519
671	3101	1513
672	3103	1508
673	3106	1502
674	3113	1498
675	3118	1494
676	3120	1489
677	3127	1485
678	3130	1479
679	3132	1474
680	3134	1468
681	3137	1462
682	3139	1456
683	3142	1451
684	3145	1446
685	3147	1440
686	3149	1434
687	3151	1429
688	3154	1423
689	3156	1418
690	3158	1412
691	3160	1406
692	3162	1401
693	3164	1395
694	3168	1390
695	3170	1384
696	3172	1379
697	3174	1373
698	3176	1367
699	3181	1363
700	3183	1357
701	3185	1352
702	3188	1347
703	3191	1341
704	3195	1337
705	3197	1331
706	3203	1327
707	3205	1322
708	3207	1316
709	3213	1312
710	3215	1306
711	3217	1301
712	3220	1296
713	3222	1290
714	3228	1286
715	3230	1281
716	3232	1275
717	3234	1270
718	3236	1264
719	3238	1259
720	3243	1254
721	3245	1249
722	3248	1244
723	3253	1240
724	3262	1237
725	3265	1232
726	3268	1227
727	3275	1223
728	3278	1218
729	3280	1213
730	3283	1208
731	3285	1202
732	3292	1199
733	3297	1195
734	3309	1193
735	3312	1188
736	3323	1185
737	3326	1180
738	3330	1176
739	3339	1173
740	3341	1167
741	3343	1162
742	3345	1157
743	3352	1153
744	3354	1148
745	3357	1143
746	3360	1138
747	3363	1133
748	3365	1127
749	3368	1122
750	3370	1117
751	3372	1112
752	3377	1107
753	3381	1103
754	3396	1102
755	3398	1096
756	3400	1091
757	3401	1086
758	3410	1082
759	3412	1077
760	3416	1073
761	3421	1068
762	3432	1066
763	3435	1061
764	3447	1058
765	3449	1053
766	3451	1048
767	3458	1044
768	3460	1039
769	3461	1034
770	3463	1028
771	3464	1023
772	3466	1018
773	3473	1014
774	3476	1009
775	3488	1006
776	3492	1002
777	3494	997
778	3496	991
779	3497	986
780	3499	981
781	3506	977
782	3509	972
783	3510	967
784	3512	962
785	3514	956
786	3515	951
787	3525	948
788	3527	943
789	3529	938
790	3537	934
791	3540	929
792	3542	924
793	3545	919
794	3546	914
795	3553	910
796	3555	905
797	3557	900
798	3559	895
799	3562	890
800	3570	886
801	3572	881
802	3586	879
803	3589	875
804	3591	870
805	3593	864
806	3599	860
807	3602	856
808	3605	851
809	3607	846
810	3614	842
811	3616	837
812	3618	832
813	3619	827
814	3624	822
815	3627	817
816	3630	813
817	3632	808
818	3643	805
819	3648	800
820	3650	795
821	3658	792
822	3661	787
823	3663	782
824	3664	777
825	3671	773
826	3673	768
827	3675	763
828	3679	759
829	3688	755
830	3691	750
831	3694	745
832	3696	741
833	3703	737
834	3706	732
835	3709	727
836	3711	722
837	3716	718
838	3719	713
839	3724	709
840	3733	705
841	3737	701
842	3744	697
843	3754	694
844	3757	689
845	3762	684
846	3767	680
847	3770	675
848	3774	671
849	3780	667
850	3784	662
851	3790	658
852	3798	654
853	3801	649
854	3814	646
855	3817	642
856	3823	638
857	3829	633
858	3832	629
859	3837	624
860	3844	620
861	3848	616
862	3852	611
863	3854	606
864	3862	602
865	3865	598
866	3873	594
867	3877	589
868	3886	585
869	3888	581
870	3890	576
871	3892	571
872	3894	566
873	3896	561
874	3901	557
875	3904	552
876	3906	547
877	3908	543
878	3910	538
879	3913	533
880	3916	528
881	3918	524
882	3919	519
883	3924	514
884	3926	510
885	3933	506
886	3936	501
887	3938	496
888	3939	491
889	3941	487
890	3943	482
891	3946	477
892	3948	473
893	3949	468
894	3951	463
895	3953	458
896	3955	454
897	3961	449
898	3964	445
899	3966	440
900	3968	436
901	3970	431
902	3976	427
903	3978	422
904	3981	417
905	3983	413
906	3984	408
907	3991	404
908	3994	399
909	3996	395
910	3999	390
911	4001	386
912	4007	381
913	4011	377
914	4035	374
915	4039	370
916	4042	365
917	4047	361
918	4062	358
919	4067	353
920	4070	349
921	4072	344
922	4074	339
923	4077	335
924	4087	331
925	4095	327
926	4102	323
927	4109	318
928	4111	314
929	4124	310
930	4131	306
931	4136	301
932	4140	297
933	4143	292
934	4151	288
935	4155	284
936	4162	279
937	4166	275
938	4168	270
939	4171	266
940	4173	261
941	4175	257
942	4178	252
943	4180	247
944	4190	243
945	4193	239
946	4196	234
947	4198	230
948	4200	225
949	4203	221
950	4205	216
951	4207	212
952	4209	207
953	4238	204
954	4241	199
955	4247	195
956	4249	190
957	4251	186
958	4253	181
959	4256	177
960	4263	173
961	4265	168
962	4267	163
963	4269	159
964	4295	155
965	4302	151
966	4304	146
967	4310	142
968	4314	138
969	4336	134
970	4343	129
971	4345	125
972	4348	120
973	4350	116
974	4353	111
975	4359	107
976	4362	102
977	4364	98
978	4367	93
979	4373	89
980	4393	85
981	4396	80
982	4403	76
983	4406	71
984	4408	67
985	4411	62
986	4413	58
987	4416	53
988	4418	49
989	4420	44
990	4428	40
991	4435	35
992	4455	31
993	4457	26
994	4460	22
995	4467	17
996	4469	13
997	4471	8
998	4473	4
999	4475	0
